,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,bans,region
0,100,Fail,False,False,False,False,True,False,1,0,0,1,0,0,0,"[{'championId': 412, 'pickTurn': 1}, {'championId': 245, 'pickTurn': 2}, {'championId': 80, 'pickTurn': 3}, {'championId': 121, 'pickTurn': 4}, {'championId': 876, 'pickTurn': 5}]",na1
1,200,Win,True,True,False,True,False,False,6,0,1,3,0,0,0,"[{'championId': 80, 'pickTurn': 6}, {'championId': 104, 'pickTurn': 7}, {'championId': 51, 'pickTurn': 8}, {'championId': 134, 'pickTurn': 9}, {'championId': 164, 'pickTurn': 10}]",na1
0,100,Win,True,True,False,False,True,True,3,0,0,2,0,1,0,"[{'championId': 157, 'pickTurn': 1}, {'championId': 164, 'pickTurn': 2}, {'championId': 107, 'pickTurn': 3}, {'championId': 85, 'pickTurn': 4}, {'championId': 35, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 84, 'pickTurn': 6}, {'championId': 76, 'pickTurn': 7}, {'championId': 350, 'pickTurn': 8}, {'championId': 432, 'pickTurn': 9}, {'championId': 51, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,False,False,2,0,0,1,0,0,0,"[{'championId': 51, 'pickTurn': 1}, {'championId': 92, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 20, 'pickTurn': 4}, {'championId': 62, 'pickTurn': 5}]",na1
1,200,Win,True,True,True,True,True,True,10,2,1,3,0,1,0,"[{'championId': 39, 'pickTurn': 6}, {'championId': 84, 'pickTurn': 7}, {'championId': 157, 'pickTurn': 8}, {'championId': 53, 'pickTurn': 9}, {'championId': 51, 'pickTurn': 10}]",na1
0,100,Fail,True,False,False,False,True,False,0,0,0,1,0,0,0,"[{'championId': 777, 'pickTurn': 1}, {'championId': 76, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 38, 'pickTurn': 4}, {'championId': 11, 'pickTurn': 5}]",na1
1,200,Win,False,True,False,False,False,True,5,0,0,1,0,1,0,"[{'championId': 25, 'pickTurn': 6}, {'championId': 51, 'pickTurn': 7}, {'championId': 50, 'pickTurn': 8}, {'championId': 164, 'pickTurn': 9}, {'championId': 84, 'pickTurn': 10}]",na1
0,100,Win,True,True,True,False,True,True,7,1,0,3,0,2,0,"[{'championId': 142, 'pickTurn': 1}, {'championId': 28, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 107, 'pickTurn': 4}, {'championId': 164, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 24, 'pickTurn': 6}, {'championId': 69, 'pickTurn': 7}, {'championId': 53, 'pickTurn': 8}, {'championId': 25, 'pickTurn': 9}, {'championId': 777, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 555, 'pickTurn': 1}, {'championId': 350, 'pickTurn': 2}, {'championId': 777, 'pickTurn': 3}, {'championId': 62, 'pickTurn': 4}, {'championId': 38, 'pickTurn': 5}]",na1
